UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1475206225,9/29/2016 0:00,17:30:25,109.93,56,30.43,49,180.29,2.25,6:13:00,18:13:00
1475205925,9/29/2016 0:00,17:25:25,130.82,57,30.43,57,150.2,2.25,6:13:00,18:13:00
1475205625,9/29/2016 0:00,17:20:25,160.52,57,30.43,55,47.3,5.62,6:13:00,18:13:00
1475205320,9/29/2016 0:00,17:15:20,191.37,58,30.43,52,333.81,1.12,6:13:00,18:13:00
1475205020,9/29/2016 0:00,17:10:20,207.05,58,30.43,49,41.62,4.5,6:13:00,18:13:00
1475204722,9/29/2016 0:00,17:05:22,240.99,58,30.43,45,132.36,5.62,6:13:00,18:13:00
1475204424,9/29/2016 0:00,17:00:24,274.83,58,30.43,41,332.09,4.5,6:13:00,18:13:00
1475204125,9/29/2016 0:00,16:55:25,300.94,58,30.43,55,45.88,3.37,6:13:00,18:13:00
1475203822,9/29/2016 0:00,16:50:22,322.71,58,30.43,56,94.24,7.87,6:13:00,18:13:00
1475203538,9/29/2016 0:00,16:45:38,346.59,58,30.43,50,81.57,6.75,6:13:00,18:13:00
1475203220,9/29/2016 0:00,16:40:20,364.18,58,30.43,49,351.03,7.87,6:13:00,18:13:00
1475202941,9/29/2016 0:00,16:35:41,368.35,58,30.43,51,78.81,5.62,6:13:00,18:13:00
1475202622,9/29/2016 0:00,16:30:22,362.84,58,30.43,46,85.96,5.62,6:13:00,18:13:00
1475202321,9/29/2016 0:00,16:25:21,423.9,59,30.43,48,19.78,4.5,6:13:00,18:13:00
1475202025,9/29/2016 0:00,16:20:25,457.69,58,30.43,59,18.26,4.5,6:13:00,18:13:00
1475201723,9/29/2016 0:00,16:15:23,511.38,58,30.43,52,69.08,3.37,6:13:00,18:13:00
1475201422,9/29/2016 0:00,16:10:22,566.83,58,30.43,52,40.87,4.5,6:13:00,18:13:00
1475201120,9/29/2016 0:00,16:05:20,187.96,58,30.43,49,0.13,4.5,6:13:00,18:13:00
1475200820,9/29/2016 0:00,16:00:20,310.59,59,30.43,58,27.34,9,6:13:00,18:13:00
1475200522,9/29/2016 0:00,15:55:22,230.26,59,30.43,46,359.93,3.37,6:13:00,18:13:00
1475200221,9/29/2016 0:00,15:50:21,623.31,60,30.43,46,22.18,7.87,6:13:00,18:13:00
1475199922,9/29/2016 0:00,15:45:22,312.1,60,30.43,48,4.38,10.12,6:13:00,18:13:00
1475199624,9/29/2016 0:00,15:40:24,803.72,60,30.43,44,355.03,7.87,6:13:00,18:13:00
1475199319,9/29/2016 0:00,15:35:19,671.97,60,30.42,47,0.4,7.87,6:13:00,18:13:00
1475199020,9/29/2016 0:00,15:30:20,670.32,60,30.42,51,53.16,4.5,6:13:00,18:13:00
1475198721,9/29/2016 0:00,15:25:21,679.73,60,30.42,48,353.87,9,6:13:00,18:13:00
1475198424,9/29/2016 0:00,15:20:24,687.62,60,30.43,54,2.04,4.5,6:13:00,18:13:00
1475198118,9/29/2016 0:00,15:15:18,697.66,61,30.42,53,34.85,11.25,6:13:00,18:13:00
1475197821,9/29/2016 0:00,15:10:21,716.27,61,30.42,44,11.08,7.87,6:13:00,18:13:00
1475197523,9/29/2016 0:00,15:05:23,744.43,61,30.43,50,1.6,5.62,6:13:00,18:13:00
1475197330,9/29/2016 0:00,15:02:10,612.34,61,30.42,53,345.21,7.87,6:13:00,18:13:00
1475196921,9/29/2016 0:00,14:55:21,760.9,61,30.42,50,165.42,4.5,6:13:00,18:13:00
1475196621,9/29/2016 0:00,14:50:21,773.71,61,30.42,57,30.3,6.75,6:13:00,18:13:00
1475196318,9/29/2016 0:00,14:45:18,790.08,61,30.42,59,34.24,3.37,6:13:00,18:13:00
1475196023,9/29/2016 0:00,14:40:23,804.28,61,30.42,59,19.11,7.87,6:13:00,18:13:00
1475195724,9/29/2016 0:00,14:35:24,818.82,61,30.42,53,84.61,6.75,6:13:00,18:13:00
1475195419,9/29/2016 0:00,14:30:19,855.63,62,30.42,51,31.88,5.62,6:13:00,18:13:00
1475195120,9/29/2016 0:00,14:25:20,875.16,62,30.42,58,149.48,3.37,6:13:00,18:13:00
1475194821,9/29/2016 0:00,14:20:21,867.9,62,30.42,54,62.54,3.37,6:13:00,18:13:00
1475194527,9/29/2016 0:00,14:15:27,872.67,62,30.43,58,39.59,5.62,6:13:00,18:13:00
1475194220,9/29/2016 0:00,14:10:20,890.52,62,30.43,50,122.13,4.5,6:13:00,18:13:00
1475193619,9/29/2016 0:00,14:00:19,911.06,62,30.43,53,65.07,7.87,6:13:00,18:13:00
1475193320,9/29/2016 0:00,13:55:20,925.16,62,30.43,49,69.79,7.87,6:13:00,18:13:00
1475193020,9/29/2016 0:00,13:50:20,933.15,62,30.43,47,346.87,5.62,6:13:00,18:13:00
1475192721,9/29/2016 0:00,13:45:21,942.73,62,30.43,53,359.93,5.62,6:13:00,18:13:00
1475192421,9/29/2016 0:00,13:40:21,955.74,62,30.43,50,9.92,4.5,6:13:00,18:13:00
1475192121,9/29/2016 0:00,13:35:21,959.47,62,30.43,54,19.98,9,6:13:00,18:13:00
1475191820,9/29/2016 0:00,13:30:20,970.22,62,30.43,57,0.9,6.75,6:13:00,18:13:00
1475191518,9/29/2016 0:00,13:25:18,974.87,62,30.43,54,19.13,11.25,6:13:00,18:13:00
1475191220,9/29/2016 0:00,13:20:20,985.22,62,30.44,53,61.93,7.87,6:13:00,18:13:00
1475190925,9/29/2016 0:00,13:15:25,992.19,62,30.43,50,63.35,10.12,6:13:00,18:13:00
1475190622,9/29/2016 0:00,13:10:22,997.26,62,30.44,56,171.18,7.87,6:13:00,18:13:00
1475190322,9/29/2016 0:00,13:05:22,1004.6,62,30.44,54,45.65,7.87,6:13:00,18:13:00
1475190019,9/29/2016 0:00,13:00:19,1007.96,63,30.44,54,15.92,11.25,6:13:00,18:13:00
1475189722,9/29/2016 0:00,12:55:22,1013.59,63,30.44,54,130.14,9,6:13:00,18:13:00
1475189420,9/29/2016 0:00,12:50:20,1020.55,62,30.44,51,21.54,10.12,6:13:00,18:13:00
1475189119,9/29/2016 0:00,12:45:19,1025.63,62,30.44,45,70.89,15.75,6:13:00,18:13:00
1475188820,9/29/2016 0:00,12:40:20,1029.41,63,30.45,46,59.62,12.37,6:13:00,18:13:00
1475188520,9/29/2016 0:00,12:35:20,1034.46,63,30.45,43,79.08,7.87,6:13:00,18:13:00
1475188219,9/29/2016 0:00,12:30:19,1033.54,63,30.45,43,359.46,5.62,6:13:00,18:13:00
1475187921,9/29/2016 0:00,12:25:21,1039.06,63,30.45,40,59.89,4.5,6:13:00,18:13:00
1475187620,9/29/2016 0:00,12:20:20,1039.67,63,30.45,39,40.66,6.75,6:13:00,18:13:00
1475187320,9/29/2016 0:00,12:15:20,1037.76,64,30.46,41,20.44,14.62,6:13:00,18:13:00
1475187024,9/29/2016 0:00,12:10:24,1039.52,64,30.45,41,40.4,13.5,6:13:00,18:13:00
1475186720,9/29/2016 0:00,12:05:20,1040.14,63,30.45,41,117.62,4.5,6:13:00,18:13:00
1475186427,9/29/2016 0:00,12:00:27,1039.22,63,30.46,42,354.78,1.12,6:13:00,18:13:00
1475186120,9/29/2016 0:00,11:55:20,1035.99,63,30.46,41,35.68,4.5,6:13:00,18:13:00
1475185820,9/29/2016 0:00,11:50:20,1033.49,63,30.46,39,350,5.62,6:13:00,18:13:00
1475185518,9/29/2016 0:00,11:45:18,1029.15,63,30.46,41,14.63,9,6:13:00,18:13:00
1475185220,9/29/2016 0:00,11:40:20,1025.51,63,30.46,41,349.53,2.25,6:13:00,18:13:00
1475184919,9/29/2016 0:00,11:35:19,1023.78,63,30.46,41,31.9,9,6:13:00,18:13:00
1475184622,9/29/2016 0:00,11:30:22,1017.57,63,30.47,37,339.83,3.37,6:13:00,18:13:00
1475184320,9/29/2016 0:00,11:25:20,1013.93,63,30.47,34,67.14,11.25,6:13:00,18:13:00
1475184021,9/29/2016 0:00,11:20:21,1009.36,63,30.47,34,61.67,9,6:13:00,18:13:00
1475183722,9/29/2016 0:00,11:15:22,1002.89,63,30.47,33,32.74,6.75,6:13:00,18:13:00
1475183516,9/29/2016 0:00,11:11:56,999.19,63,30.47,31,4.51,6.75,6:13:00,18:13:00
1475183122,9/29/2016 0:00,11:05:22,987.02,62,30.47,36,38.9,10.12,6:13:00,18:13:00
1475182823,9/29/2016 0:00,11:00:23,981.66,63,30.47,40,28.85,7.87,6:13:00,18:13:00
1475182521,9/29/2016 0:00,10:55:21,973.79,63,30.47,35,114.97,5.62,6:13:00,18:13:00
1475182222,9/29/2016 0:00,10:50:22,964.46,63,30.47,37,60.94,6.75,6:13:00,18:13:00
1475181920,9/29/2016 0:00,10:45:20,957.02,62,30.47,40,37.85,7.87,6:13:00,18:13:00
1475181622,9/29/2016 0:00,10:40:22,946.32,62,30.47,44,38.03,11.25,6:13:00,18:13:00
1475181322,9/29/2016 0:00,10:35:22,933.08,62,30.47,45,37.37,11.25,6:13:00,18:13:00
1475181021,9/29/2016 0:00,10:30:21,926.79,62,30.47,43,10.44,5.62,6:13:00,18:13:00
1475180719,9/29/2016 0:00,10:25:19,915.84,62,30.47,42,5.51,11.25,6:13:00,18:13:00
1475180419,9/29/2016 0:00,10:20:19,901.65,62,30.47,42,24.74,9,6:13:00,18:13:00
1475180123,9/29/2016 0:00,10:15:23,899.53,61,30.47,46,37.67,7.87,6:13:00,18:13:00
1475179820,9/29/2016 0:00,10:10:20,878.76,62,30.47,49,61.93,7.87,6:13:00,18:13:00
1475179523,9/29/2016 0:00,10:05:23,867.98,61,30.47,44,359.93,6.75,6:13:00,18:13:00
1475179225,9/29/2016 0:00,10:00:25,855.89,62,30.47,41,26.99,7.87,6:13:00,18:13:00
1475178921,9/29/2016 0:00,9:55:21,841.52,61,30.47,42,21.37,9,6:13:00,18:13:00
1475178622,9/29/2016 0:00,9:50:22,830.19,62,30.47,38,52.73,10.12,6:13:00,18:13:00
1475178319,9/29/2016 0:00,9:45:19,815.1,62,30.47,39,61.67,6.75,6:13:00,18:13:00
1475178020,9/29/2016 0:00,9:40:20,799.29,62,30.47,41,42.59,5.62,6:13:00,18:13:00
